source	target	polarity
pubchem.compound:54454	ncbigene:3156	-1
pubchem.compound:5095	ncbigene:1813	1
pubchem.compound:4184	ncbigene:3358	-1
pubchem.compound:68844	ncbigene:759	-1
pubchem.compound:2993	ncbigene:331	-1
pubchem.compound:6279	ncbigene:2099	1
pubchem.compound:3114	ncbigene:1129	-1
pubchem.compound:3341	ncbigene:152	-1
pubchem.compound:216239	ncbigene:5894	-1
pubchem.compound:6918837	ncbigene:51564	-1
pubchem.compound:5311	ncbigene:3065	-1
pubchem.compound:5833	ncbigene:9254	-1
pubchem.compound:71360	ncbigene:152	-1
pubchem.compound:4235	ncbigene:4129	-1
pubchem.compound:5288783	ncbigene:7421	-1
pubchem.compound:2170	ncbigene:3359	-1
pubchem.compound:3826	ncbigene:5742	-1
pubchem.compound:33741	ncbigene:6530	-1
pubchem.compound:3034010	ncbigene:2194	-1
pubchem.compound:3958	ncbigene:2562	1
pubchem.compound:4636	ncbigene:147	1
pubchem.compound:2812	ncbigene:3783	-1
pubchem.compound:5206	ncbigene:2741	1
pubchem.compound:3463	ncbigene:10599	-1
pubchem.compound:53232	ncbigene:3683	-1
pubchem.compound:3878	ncbigene:1132	-1
pubchem.compound:4474	ncbigene:148	-1
pubchem.compound:5311217	ncbigene:773	-1
pubchem.compound:6010	ncbigene:367	1
pubchem.compound:5833	ncbigene:6716	-1
pubchem.compound:2585	ncbigene:3091	1
pubchem.compound:3715	ncbigene:5320	-1
pubchem.compound:2170	ncbigene:1815	-1
pubchem.compound:5328940	ncbigene:1017	-1
pubchem.compound:2733526	ncbigene:5599	1
pubchem.compound:3488	ncbigene:3767	-1
pubchem.compound:5509	ncbigene:5743	-1
pubchem.compound:5280360	ncbigene:5732	1
pubchem.compound:5775	ncbigene:147	-1
pubchem.compound:33741	ncbigene:1131	-1
pubchem.compound:4485	ncbigene:779	-1
pubchem.compound:5593	ncbigene:1128	-1
pubchem.compound:4909	ncbigene:2891	-1
pubchem.compound:667468	ncbigene:1128	-1
pubchem.compound:4011	ncbigene:6530	-1
pubchem.compound:60795	ncbigene:3363	-1
pubchem.compound:24826799	ncbigene:4067	-1
pubchem.compound:5284373	ncbigene:5535	-1
pubchem.compound:441074	ncbigene:146	-1
pubchem.compound:1548887	ncbigene:5743	-1
pubchem.compound:5095	ncbigene:146	-1
pubchem.compound:56959	ncbigene:6335	-1
pubchem.compound:4171	ncbigene:153	-1
pubchem.compound:941361	ncbigene:8913	-1
pubchem.compound:4044	ncbigene:5742	-1
pubchem.compound:4474	ncbigene:1133	-1
pubchem.compound:5819	ncbigene:7067	1
pubchem.compound:60854	ncbigene:147	-1
pubchem.compound:4737	ncbigene:2902	-1
pubchem.compound:5360696	ncbigene:1536	-1
pubchem.compound:30323	ncbigene:7153	-1
pubchem.compound:5833	ncbigene:777	-1
pubchem.compound:2170	ncbigene:1132	-1
pubchem.compound:4507	ncbigene:9254	-1
pubchem.compound:15951529	ncbigene:367	-1
pubchem.compound:4184	ncbigene:148	-1
pubchem.compound:208908	ncbigene:1956	-1
pubchem.compound:4205	ncbigene:3269	-1
pubchem.compound:82146	ncbigene:6256	1
pubchem.compound:5756	ncbigene:2100	1
pubchem.compound:60854	ncbigene:3356	-1
pubchem.compound:5311181	ncbigene:5144	1
pubchem.compound:4828	ncbigene:153	1
pubchem.compound:5360696	ncbigene:4688	-1
pubchem.compound:446220	ncbigene:6530	-1
pubchem.compound:57363	ncbigene:6718	-1
pubchem.compound:2733526	ncbigene:5581	-1
pubchem.compound:8378	ncbigene:7852	-1
pubchem.compound:5311507	ncbigene:1813	-1
pubchem.compound:36462	ncbigene:7153	-1
pubchem.compound:33741	ncbigene:116443	-1
pubchem.compound:4909	ncbigene:2562	1
pubchem.compound:4497	ncbigene:778	-1
pubchem.compound:60795	ncbigene:3350	1
pubchem.compound:24826799	ncbigene:2322	-1
pubchem.compound:5311304	ncbigene:4988	-1
pubchem.compound:3878	ncbigene:1812	-1
pubchem.compound:26987	ncbigene:3269	-1
pubchem.compound:3062316	ncbigene:3815	-1
pubchem.compound:4184	ncbigene:3350	-1
pubchem.compound:3476	ncbigene:3767	-1
pubchem.compound:56959	ncbigene:778	-1
pubchem.compound:216239	ncbigene:3815	-1
pubchem.compound:5360696	ncbigene:1136	-1
pubchem.compound:5833	ncbigene:778	-1
pubchem.compound:6047	ncbigene:1816	1
pubchem.compound:2170	ncbigene:152	-1
pubchem.compound:3292	ncbigene:6331	-1
pubchem.compound:16490	ncbigene:2908	1
pubchem.compound:3033	ncbigene:5742	-1
pubchem.compound:2554	ncbigene:6335	-1
pubchem.compound:5920	ncbigene:7068	1
pubchem.compound:5073	ncbigene:150	-1
pubchem.compound:4055	ncbigene:5627	1
pubchem.compound:4883	ncbigene:153	-1
pubchem.compound:4497	ncbigene:4306	-1
pubchem.compound:3108	ncbigene:10846	-1
pubchem.compound:5284513	ncbigene:5915	1
pubchem.compound:4091	ncbigene:5564	1
pubchem.compound:4011	ncbigene:152	-1
pubchem.compound:124087	ncbigene:3269	-1
pubchem.compound:644241	ncbigene:3815	-1
pubchem.compound:5994	ncbigene:2099	1
pubchem.compound:146570	ncbigene:148	-1
pubchem.compound:54746	ncbigene:3352	1
pubchem.compound:44462760	ncbigene:5894	-1
pubchem.compound:3784	ncbigene:9254	-1
pubchem.compound:132971	ncbigene:1586	-1
pubchem.compound:12035	ncbigene:2902	1
pubchem.compound:4205	ncbigene:3356	-1
pubchem.compound:20279	ncbigene:50484	-1
pubchem.compound:56959	ncbigene:147	-1
pubchem.compound:44093	ncbigene:4318	-1
pubchem.compound:5311181	ncbigene:5731	1
pubchem.compound:4737	ncbigene:2898	-1
pubchem.compound:6918837	ncbigene:8841	-1
pubchem.compound:6000	ncbigene:1135	-1
pubchem.compound:3290	ncbigene:1128	-1
pubchem.compound:71360	ncbigene:3362	-1
pubchem.compound:21700	ncbigene:2908	1
pubchem.compound:2170	ncbigene:150	-1
pubchem.compound:3373	ncbigene:2560	1
pubchem.compound:4499	ncbigene:775	-1
pubchem.compound:2733526	ncbigene:5578	-1
pubchem.compound:126941	ncbigene:1719	-1
pubchem.compound:2913	ncbigene:1128	-1
pubchem.compound:2315	ncbigene:759	-1
pubchem.compound:4932	ncbigene:154	-1
pubchem.compound:4168	ncbigene:3359	1
pubchem.compound:444036	ncbigene:4306	-1
pubchem.compound:6442177	ncbigene:2475	-1
pubchem.compound:5311217	ncbigene:778	-1
pubchem.compound:5833	ncbigene:367	-1
pubchem.compound:60854	ncbigene:152	-1
pubchem.compound:2585	ncbigene:146	-1
pubchem.compound:4737	ncbigene:2905	-1
pubchem.compound:3373	ncbigene:2563	1
pubchem.compound:54454	ncbigene:3066	-1
pubchem.compound:4499	ncbigene:776	-1
pubchem.compound:3339	ncbigene:64386	-1
pubchem.compound:6215	ncbigene:2908	1
pubchem.compound:5073	ncbigene:148	-1
pubchem.compound:3676	ncbigene:6335	-1
pubchem.compound:667468	ncbigene:3269	-1
pubchem.compound:5665	ncbigene:18	-1
pubchem.compound:3333	ncbigene:783	-1
pubchem.compound:60823	ncbigene:3066	-1
pubchem.compound:60795	ncbigene:1815	-1
pubchem.compound:3899	ncbigene:196	1
pubchem.compound:5743	ncbigene:2908	1
pubchem.compound:4167	ncbigene:1132	-1
pubchem.compound:4211	ncbigene:367	-1
pubchem.compound:60854	ncbigene:3352	-1
pubchem.compound:68617	ncbigene:6530	-1
pubchem.compound:5291	ncbigene:4914	-1
pubchem.compound:4737	ncbigene:2562	1
pubchem.compound:3373	ncbigene:2566	-1
pubchem.compound:564	ncbigene:5340	-1
pubchem.compound:2477	ncbigene:1814	-1
pubchem.compound:3488	ncbigene:6833	-1
pubchem.compound:2435	ncbigene:152	1
pubchem.compound:5775	ncbigene:148	-1
pubchem.compound:33741	ncbigene:1139	-1
pubchem.compound:5593	ncbigene:1132	-1
pubchem.compound:4909	ncbigene:1139	-1
pubchem.compound:2092	ncbigene:146	-1
pubchem.compound:667468	ncbigene:3358	-1
pubchem.compound:60795	ncbigene:3352	-1
pubchem.compound:24826799	ncbigene:6714	-1
pubchem.compound:441074	ncbigene:147	-1
pubchem.compound:5095	ncbigene:147	-1
pubchem.compound:4044	ncbigene:5743	-1
pubchem.compound:4474	ncbigene:1132	-1
pubchem.compound:3823	ncbigene:1589	-1
pubchem.compound:451668	ncbigene:1786	-1
pubchem.compound:60854	ncbigene:148	-1
pubchem.compound:5360696	ncbigene:4986	1
pubchem.compound:3961	ncbigene:185	-1
pubchem.compound:5833	ncbigene:773	-1
pubchem.compound:2170	ncbigene:1131	-1
pubchem.compound:16231	ncbigene:6340	-1
